ENA_ID,THESIS_CODE,RACE,
ERR013288,DU_WTSI,duroc,
ERR013287,DU_WTSI,duroc,
ERR013286,DU_WTSI,duroc,
ERR013284,DU_WTSI,duroc,
SRR030071,DU_Aahrus,duroc,
SRR030072,DU_Aahrus,duroc,
SRR030073,DU_Aahrus,duroc,
SRR030074,DU_Aahrus,duroc,
SRR030075,DU_Aahrus,duroc,
SRR030076,DU_Aahrus,duroc,
SRR030077,DU_Aahrus,duroc,
SRR030078,DU_Aahrus,duroc,
SRR030079,DU_Aahrus,duroc,
SRR030080,DU_Aahrus,duroc,
SRR030081,DU_Aahrus,duroc,
SRR030082,DU_Aahrus,duroc,
SRR030083,DU_Aahrus,duroc,
SRR030084,DU_Aahrus,duroc,
SRR030085,DU_Aahrus,duroc,
SRR030086,DU_Aahrus,duroc,
SRR030087,DU_Aahrus,duroc,
SRR1177806,DU_Hung,duroc,
SRR1178916,Mangal_swallow_belly,mangalica_swallow_belly,
SRR1178923,Mangal_Blond,mangalica_blonde,
SRR1178924,Mangal_Blond,mangalica_blonde,
SRR1178925,Mangal_red,mangalica_red,
SRR1004279,BK3,berkshire,
SRR1004278,BK2,berkshire,
SRR1004277,BK1,berkshire,
ERR977059,LW37F01,large_white,
ERR977061,LW38M02,large_white,
ERR977189,AS01F01,angler_sattleschwein,
ERR977190,AS01F01,angler_sattleschwein,
ERR977191,AS01F09,angler_sattleschwein,
ERR977192,AS01F09,angler_sattleschwein,
ERR977193,AS01F09,angler_sattleschwein,
ERR977194,AS01F09,angler_sattleschwein,
ERR977195,BB01M47,bunte_bentheimer,
ERR977196,BB01M47,bunte_bentheimer,
ERR977197,BK01F10,berkshire,
ERR977198,BK01F10,berkshire,
ERR977199,BK01M20,berkshire,
ERR977200,BK01M20,berkshire,
ERR977201,BS01F10,british_saddleback,
ERR977203,BS01F10,british_saddleback,
ERR977204,BS01F35,british_saddleback,
ERR977205,BS01F35,british_saddleback,
ERR977206,CA01F14,calabrese,
ERR977207,CA01F14,calabrese,
ERR977208,CA01F14,calabrese,
ERR977209,CA01F14,calabrese,
ERR977210,CM01F17,chato_murciano,
ERR977211,CM01F17,chato_murciano,
ERR977212,CM01F18,chato_murciano,
ERR977213,CM01F18,chato_murciano,
ERR977214,CM01F18,chato_murciano,
ERR977215,CS01F02,cinta_senese,
ERR977216,CS01F02,cinta_senese,
ERR977217,CS01F02,cinta_senese,
ERR977218,CT01F13,casertana,
ERR977219,CT01F13,casertana,
ERR977220,CT01F13,casertana,
ERR977221,CT01M12,casertana,
ERR977222,CT01M12,casertana,
ERR977223,CT01M12,casertana,
ERR977224,DU22M01,duroc,
ERR977225,DU22M01,duroc,
ERR977226,DU22M02,duroc,
ERR977227,DU22M02,duroc,
ERR977228,DU23M03,duroc,
ERR977229,DU23M03,duroc,
ERR977230,DU23M03,duroc,
ERR977231,DU23M03,duroc,
ERR977232,DU23M03,duroc,
ERR977233,DU23M03,duroc,
ERR977234,DU23M03,duroc,
ERR977235,DU23M03,duroc,
ERR977236,DU23M04,duroc,
ERR977237,DU23M04,duroc,
ERR977238,DU23M04,duroc,
ERR977239,DU23M04,duroc,
ERR977240,DU23M04,duroc,
ERR977241,DU23M04,duroc,
ERR977242,DU23M04,duroc,
ERR977243,DU23M04,duroc,
ERR977245,GO01F04,gloucester_old_spot,
ERR977246,GO01F23,gloucester_old_spot,
ERR977247,GO01F23,gloucester_old_spot,
ERR977252,LB01F49,large_black,
ERR977254,LE01F25,leicoma,
ERR977256,LR21M03,landrace,
ERR977257,LR21M03,landrace,
ERR977258,LR21M03,landrace,
ERR977259,LR21M03,landrace,
ERR977260,LR21M03,landrace,
ERR977261,LR21M03,landrace,
ERR977262,LR21M03,landrace,
ERR977263,LR21M03,landrace,
ERR977266,LR24F08,landrace,
ERR977268,LR30F03,landrace,
ERR977269,LR30F03,landrace,
ERR977270,LR30F03,landrace,
ERR977271,LR30F03,landrace,
ERR977272,LR30F03,landrace,
ERR977273,LR30F03,landrace,
ERR977274,LR30F03,landrace,
ERR977275,LR30F03,landrace,
ERR977276,LR30F04,landrace,
ERR977277,LR30F04,landrace,
ERR977278,LS01F04,linderodsvin,
ERR977279,LS01F04,linderodsvin,
ERR977280,LW22M04,large_white,
ERR977281,LW22M04,large_white,
ERR977282,LW22M04,large_white,
ERR977283,LW22M04,large_white,
ERR977284,LW22M04,large_white,
ERR977285,LW22M04,large_white,
ERR977286,LW22M04,large_white,
ERR977287,LW22M04,large_white,
ERR977288,MA01F18,mangalica,
ERR977289,MA01F18,mangalica,
ERR977290,MA01F18,mangalica,
ERR977291,MA01F20,mangalica,
ERR977292,MA01F20,mangalica,
ERR977293,MA01F20,mangalica,
ERR977294,MW01F29,middle_white,
ERR977295,MW01F29,middle_white,
ERR977296,MW01F33,middle_white,
ERR977298,NI01U07,negro_iberico,
ERR977299,NI01U07,negro_iberico,
ERR977300,NI01U07,negro_iberico,
ERR977301,NS01F05,nera_siciliana,
ERR977302,NS01F05,nera_siciliana,
ERR977303,NS01F05,nera_siciliana,
ERR977304,NS01F05,nera_siciliana,
ERR977305,PI21M20,pietrain,
ERR173208,PI21M21,pietrain,
ERR977306,RE01F51,retinto,
ERR977307,RE01F51,retinto,
ERR977308,RE01F51,retinto,
ERR977309,RE01F51,retinto,
ERR977310,TA01F19,tamworth,
ERR977311,TA01F19,tamworth,
ERR977312,TA01F19,tamworth,
ERR977313,TA01M06,tamworth,
ERR977314,TA01M06,tamworth,
ERR977315,TA01M06,tamworth,
ERR977354,WB28F31,wild_boar,
ERR977356,WB28M39,wild_boar,
ERR977357,WB28M39,wild_boar,
ERR173170,DU23M01,duroc,
ERR173171,DU23M02,duroc,
ERR173172,DU23M03,duroc,
ERR173173,DU23M04,duroc,
ERR173174,HA20U01,hampshire,
ERR173175,HA20U02,hampshire,
ERR173180,LR21M03,landrace,
ERR173181,LR24F01,landrace,
ERR173182,LR24F08,landrace,
ERR173183,LR30F02,landrace,
ERR173184,LR30F03,landrace,
ERR173185,LW22F01,large_white,
ERR173186,LW22F02,large_white,
ERR173187,LW22F03,large_white,
ERR173188,LW22F04,large_white,
ERR173189,LW22F06,large_white,
ERR173190,LW22F07,large_white,
ERR173191,LW22M04,large_white,
ERR173192,LW22M07,large_white,
ERR173193,LW36F01,large_white,
ERR173194,LW36F02,large_white,
ERR173195,LW36F03,large_white,
ERR173196,LW36F04,large_white,
ERR173197,LW36F05,large_white,
ERR173198,LW36F06,large_white,
ERR173199,MS20U10,meishan,
ERR173200,MS20U11,meishan,
ERR173201,MS21M07,meishan,
ERR173202,MS21M14,meishan,
ERR173203,OM001_Warthog,common_warthog,
ERR173204,PI21F02,pietrain,
ERR173205,PI21F06,pietrain,
ERR173206,PI21M17,pietrain,
ERR173207,PI21M20,pietrain,
ERR173211,Sverrucosus,sus_verrucosus,
ERR875316,Pietrain4,pietrain,
ERR875317,Pietrain4,pietrain,
ERR875318,Pietrain5,pietrain,
ERR875319,Pietrain5,pietrain,
ERR875326,Pietrain10,pietrain,
ERR875327,Pietrain11,pietrain,
ERR977376,WB42M09,wild_boar,
ERR977377,WB42M09,wild_boar,
ERR977378,WB42M09,wild_boar,
ERR977379,WB44U06,wild_boar,
ERR977380,WB44U06,wild_boar,
ERR977381,WB44U06,wild_boar,
ERR977382,WB44U07,wild_boar,
ERR977383,WB44U07,wild_boar,
SRR652349,Penzhou_2,penzhou,
SRR652350,Penzhou_3,penzhou,
SRR652351,Wujin_1,wujin,
SRR652352,Wujin_2,wujin,
SRR652353,Wujin_3,wujin,
SRR652354,Yanan_1,yanan,
SRR652355,Yanan_2,yanan,
SRR652356,Yanan_3,yanan,
SRR652357,Neijiang_1,neijiang,
SRR652362,Neijiang_2,neijiang,
SRR652363,Neijiang_3,neijiang,
SRR652374,Jinhua_1,jinhua,
SRR652375,Jinhua_2,jinhua,
SRR652376,Jinhua_3,jinhua,
ERR173176,INDO22_Sumatra,wild_boar,sumatran
ERR173177,INDO26_Sbarbatus,bearded_pig,sus_barbatus
ERR173178,INDO33_Sumatra,wild_boar,sumatran
ERR173209,SCEB01F01_Scebifrons,visayan_warty_pig,sus_cebifrons
ERR173213,WB21F05,wild_boar,
ERR173214,WB21M03,wild_boar,
ERR173216,WB22F02,wild_boar,
ERR173217,WB25U11,wild_boar,
ERR977326,WB21F10,wild_boar,
ERR977331,WB22F01,wild_boar,
